Lintang,Bujur,Kelas
1.5,98.93,1
-3.95,102.44,1
-0.74,131.18,1
-7.16,107.33,1
-0.4,123.01,1
-10.77,112.19,2
-8.89,118.86,1
-8.66,109.94,1
-0.6,122.49,2
-8.45,108.43,1
1.85,121.96,1
-0.77,99.47,1
-7.8,118.81,1
0.74,97.74,1
1.6,127.27,2
0.84,121.59,1
1.01,120.47,1
-1.05,100.17,1
2.15,97.88,1
-9.14,122.11,1
-9.09,122.49,5
0.68,124.26,1
-2.27,126.83,1
-6.06,122.75,2
-4.25,102.41,3
-2.17,101.76,2
-3.98,130.08,2
-5.19,129.98,3
-8.1,123.99,1
-7.29,106.88,1
-7.12,106.15,1
1.1,99.01,2
-8.43,119.58,1
-9.03,124.01,1
-4.91,103.04,2
-5.81,103.77,1
-5.26,106.07,3
1.29,121.37,1
3.4,96.08,2
0.95,121.39,1
-6.12,119.76,1
-7.22,107.72,1
-3.81,129.61,1
0.84,122.52,1
-11.36,118.59,2
-8.5,118.86,1
-1.17,126.86,2
0.13,122.22,3
-7.55,128.46,4
2.97,127.46,3
-2.97,119.61,1
-2.65,119.35,1
-6.44,105.79,1
-4.01,118.93,2
-7.47,128.48,4
-9.42,120.25,1
0.59,126.14,3
4.5,95.14,3
1.45,123.06,2
1.89,126.67,3
1.03,121.9,1
-8.14,106.86,1
-11.47,114.24,2
-8.66,117.9,1
-8.67,117.93,1
-0.6,122.41,1
0.69,122.2,1
0.47,126.59,1
-0.68,131.49,1
-0.21,125.64,1
-0.23,125.63,2
-2.8,102.32,2
0.74,98.39,1
-5.27,104.59,1
-1.34,120.45,2
-1.04,100.54,1
-7.81,119.01,1
-6.26,130.58,3
0.65,121.74,1
-8.68,116.93,4
-0.57,131.26,2
-7.44,128.19,3
1.46,126.95,4
-10.22,118.76,4
-8.14,120.06,2
-7.59,106.68,2
-3.11,127.5,3
-9.94,118.76,1
-9.26,113.71,2
-8.88,112.5,1
-8.6,118.25,1
4.68,96.23,5
-9.21,119.01,2
-0.77,98.55,2
-8.31,110.33,1
-1.01,99.78,1
-9.98,118.84,2
-2.32,121.48,1
-0.25,124.55,1
-3.25,127.95,1
-5.79,105.57,1
0.78,126.33,2
-8.43,117.87,1
-10.1,118.88,1
-8.63,123.36,2
-6.27,103.77,1
-8.79,124.01,1
-8.45,105.24,2
-10.06,118.8,1
-2.95,127.49,3
1.69,95.34,3
-0.09,123.73,2
-3.03,127.63,2
-7.77,117.2,1
-2.93,100.75,3
-7.75,117.25,3
-3.91,130.44,2
-0.26,123.76,2
-8.93,113.68,3
-2.44,121.41,3
-2.61,126.76,1
-6.04,104.61,2
-0.19,123.43,2
-1.71,99.33,3
-2.89,127.33,2
-9.11,123.85,1
-10.37,124.61,2
-7.57,128.37,2
-8.77,111.81,2
-9.49,124.08,1
-6.82,125.12,3
-2.63,105.01,3
1.24,125.08,1
-1.26,120.76,1
-5.43,103.66,2
-5.98,104.13,2
-7.58,128.23,4
-9.45,122.81,1
-8.1,107.47,1
-10.11,124.46,1
0.84,124.18,1
0.96,126.05,2
-0.98,123.95,1
-6.85,110.48,1
-9.13,117.15,5
-7.47,106.35,2
-2.44,100.44,1
-0.77,131.13,1
-8.92,110.36,2
-0.06,97.36,1
0.93,126.85,3
-1.69,132.61,1
4.46,123.21,3
-7.17,105.96,2
-9.51,124.12,2
-8.73,111.6,2
-8.12,118.54,1
-7.16,106.06,1
-6.76,108.5,4
-0.13,123.0,2
2.13,128.38,5
-10.0,118.81,1
-8.4,116.64,2
-8.3,120.28,2
-2.44,120.96,1
-0.55,121.82,1
-0.14,123.33,3
-5.08,102.38,1
-9.61,118.26,1
-8.91,114.59,1
-0.56,121.89,1
-9.62,113.9,1
1.52,126.56,2
2.87,126.61,3
-2.64,126.04,2
-8.5,108.66,1
-8.3,117.97,1
-8.41,119.7,4
-9.13,107.55,1
0.02,122.03,1
-4.48,130.96,3
-2.32,101.21,2
-9.95,107.12,2
-7.03,106.17,1
2.89,97.51,1
-3.53,127.38,2
-9.51,115.12,1
-9.29,106.8,3
-2.14,100.62,4
-8.26,117.96,2
-0.08,125.03,2
-5.99,102.61,4
1.23,121.4,1
-0.53,121.85,1
4.7,96.3,1
-0.09,123.19,1
-9.12,110.31,3
0.63,125.12,1
-2.85,121.56,1
0.46,122.08,1
-4.86,101.05,3
0.54,126.45,1
-0.68,131.12,1
-9.06,113.73,1
-7.23,108.42,1
-5.33,102.64,1
-0.05,123.39,1
-3.2,131.2,1
-0.12,122.97,1
2.98,124.43,3
-8.95,117.22,1
-9.48,126.29,4
-9.74,116.89,2
3.0,125.76,4
-9.01,112.83,2
0.45,126.22,1
1.11,120.39,1
1.79,127.19,4
-7.38,123.37,3
0.63,123.86,3
-0.76,99.45,2
4.22,126.85,4
-9.38,118.1,2
-2.79,120.93,1
-6.28,130.45,4
-1.77,121.12,1
-9.03,122.48,1
2.52,126.9,3
-9.65,119.73,1
-7.63,128.33,3
-6.12,105.68,4
-8.34,108.12,2
-6.02,133.72,5
0.28,96.82,2
-0.12,97.31,4
-7.18,106.88,2
-9.05,119.03,1
4.76,96.17,1
-8.86,119.02,1
-0.08,123.58,1
-9.57,119.47,1
-7.28,123.46,3
-7.52,128.14,4
