Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
0.62,122.46,72,1527043599.0,2
-9.75,124.44,43,1516103574.0,2
-2.4,129.72,10,1532156245.0,2
-11.28,122.23,36,1533059957.0,2
-2.93,127.78,28,1514889187.0,2
-2.51,128.69,22,1519213826.0,2
-9.09,110.57,12,1526995170.0,2
-10.03,119.41,56,1529684451.0,2
-0.74,124.34,21,1517035249.0,2
-1.34,120.45,20,1517927252.0,2
-9.41,114.69,10,1532427340.0,2
-8.34,108.42,52,1532708861.0,2
-7.18,106.88,10,1518566304.0,2
3.6,126.81,14,1515847379.0,2
-7.88,118.74,33,1517353275.0,2
-8.26,116.67,10,1533093140.0,2
-0.44,125.29,10,1515797961.0,2
-7.03,105.17,10,1519744341.0,2
-9.95,107.12,10,1518388381.0,2
-4.3,126.11,322,1515065504.0,2
-4.5,103.75,166,1519092040.0,2
-9.38,122.18,27,1526946588.0,2
-1.31,120.54,10,1517575914.0,2
1.2,126.17,76,1529313515.0,2
-6.06,122.75,10,1517764333.0,2
-1.4,120.48,10,1519422964.0,2
0.38,125.87,20,1526780862.0,2
-3.03,127.63,22,1518123732.0,2
-0.77,98.55,12,1518059487.0,2
1.16,125.47,40,1515000084.0,2
-8.85,123.32,10,1532959859.0,2
-5.66,103.4,10,1519112403.0,2
-8.25,116.49,10,1532823886.0,2
0.34,122.53,98,1531504359.0,2
-0.76,99.45,12,1518481300.0,2
-0.11,124.38,19,1528088433.0,2
3.4,96.08,10,1517814612.0,2
0.58,98.19,17,1516207331.0,2
0.0,120.51,74,1519449918.0,2
-3.91,130.44,126,1518131237.0,2
-0.66,97.05,10,1525696854.0,2
-8.89,111.48,29,1518864896.0,2
-10.34,118.71,22,1527419681.0,2
-7.51,119.25,279,1528757274.0,2
-6.82,104.88,21,1530285335.0,2
2.02,99.04,10,1519530576.0,2
-5.43,103.66,39,1518181003.0,2
-6.06,122.75,10,1517764333.0,2
-11.1,121.12,24,1528894799.0,2
1.77,122.34,10,1518694516.0,2
-10.18,105.17,10,1518595556.0,2
-9.62,117.38,19,1517551208.0,2
-8.51,116.45,13,1532807768.0,2
-0.05,126.95,98,1519250600.0,3
-10.89,112.2,10,1515464623.0,3
0.26,100.26,170,1519749911.0,3
-7.76,106.0,10,1518731778.0,3
0.0,127.22,126,1533088957.0,3
0.59,126.14,10,1517876205.0,3
-1.85,100.4,29,1519031048.0,3
-6.69,126.88,459,1530435824.0,3
3.95,126.49,42,1529328290.0,3
1.89,126.67,30,1517886525.0,3
-10.36,124.22,10,1532072793.0,3
-11.05,123.03,10,1519597444.0,3
-3.05,130.77,10,1519357353.0,3
-7.38,123.37,526,1518475492.0,3
-3.29,101.62,36,1519504029.0,3
2.06,128.36,227,1531593186.0,3
-4.28,126.35,339,1519248288.0,3
-9.67,112.86,10,1532006755.0,3
1.52,99.46,151,1525724775.0,3
-3.65,139.83,15,1530531793.0,3
0.72,122.64,33,1530627328.0,3
-8.9,124.36,111,1531426864.0,3
4.12,127.23,19,1529193707.0,3
3.23,98.3,110,1515675892.0,3
-7.99,107.42,17,1532386877.0,3
-8.88,110.64,70,1531003999.0,3
-0.42,99.24,79,1519543399.0,3
2.42,128.56,238,1532307418.0,3
0.63,122.19,82,1518897460.0,3
-5.19,129.98,224,1517779488.0,3
-3.11,135.3,10,1533153658.0,3
-4.48,130.96,14,1518386370.0,3
-1.37,120.57,10,1516913324.0,3
-3.12,130.59,10,1531749315.0,3
-9.29,106.8,10,1518403756.0,3
-7.24,129.41,62,1519421111.0,3
-2.63,105.01,10,1518179870.0,3
0.31,122.04,166,1530517966.0,3
-6.35,101.93,10,1516252377.0,3
-8.64,118.33,120,1515654229.0,3
0.32,127.22,137,1529220621.0,3
1.43,127.15,126,1529199863.0,3
3.73,126.7,29,1514994103.0,3
0.63,123.86,251,1518480617.0,3
-5.26,131.66,28,1519157089.0,3
3.8,128.05,10,1528735354.0,3
-9.55,112.82,10,1532021181.0,3
-7.57,106.72,29,1518903614.0,3
2.97,127.46,22,1517854495.0,3
-9.68,112.8,10,1532010414.0,3
-2.31,102.01,160,1527635893.0,3
-2.77,102.22,176,1519513223.0,3
0.89,122.16,24,1519746703.0,3
-3.66,138.37,62,1515382865.0,3
-7.02,122.24,10,1531594167.0,3
-7.28,123.46,556,1518578345.0,3
-7.16,106.09,23,1516664458.0,3
1.87,127.09,11,1519777657.0,3
-9.09,113.13,15,1526277702.0,3
-7.15,125.36,543,1519140111.0,3
-10.49,120.35,17,1519147988.0,3
0.93,126.85,15,1518247945.0,3
0.97,127.12,45,1515029365.0,3
0.63,122.19,82,1518897460.0,3
-7.46,110.07,258,1530185168.0,3
-4.66,103.62,141,1529661092.0,3
-9.56,112.85,10,1531992118.0,3
3.92,126.6,29,1515645379.0,3
-4.86,101.05,49,1518437741.0,3
-6.26,130.58,10,1517930376.0,3
1.77,126.4,10,1532034280.0,3
1.69,127.4,108,1530237354.0,3
3.87,127.13,10,1515481946.0,3
1.67,127.15,125,1527765994.0,3
1.91,122.3,10,1519779662.0,3
4.49,126.2,190,1530462191.0,3
-5.56,131.05,123,1518749349.0,3
1.43,98.27,35,1532539903.0,3
-6.52,129.86,172,1514868873.0,3
-8.93,113.68,14,1518135421.0,3
0.3,122.34,86,1518915539.0,3
-9.44,107.77,30,1528889008.0,3
-7.28,123.46,556,1518578345.0,3
-4.66,101.8,24,1528138996.0,3
-4.25,102.41,37,1517769102.0,3
1.66,121.55,10,1525426761.0,3
-1.56,123.28,10,1532714692.0,3
-2.52,121.5,10,1532237068.0,3
2.98,98.13,87,1531919544.0,3
1.82,127.44,116,1527251616.0,3
-9.35,110.35,10,1531637161.0,3
-9.29,106.8,10,1518403756.0,3
2.57,128.25,28,1532144566.0,3
2.52,126.9,10,1518508267.0,3
-5.19,129.98,224,1517779488.0,3
4.54,126.57,37,1526435401.0,3
3.15,128.04,24,1519508573.0,3
0.13,122.22,125,1517853801.0,3
-8.18,116.44,10,1532797530.0,3
-5.29,129.62,247,1532159621.0,3
-8.25,116.64,10,1533212263.0,3
-4.61,125.38,486,1517440840.0,3
1.74,99.49,158,1528691649.0,3
0.76,126.49,43,1516260716.0,3
-10.5,112.29,10,1515562855.0,3
-7.52,127.81,110,1519047129.0,3
-3.17,127.21,52,1516132118.0,3
-3.55,135.69,25,1528440853.0,3
-8.45,119.75,177,1518943389.0,3
-8.04,128.21,183,1530337280.0,3
1.18,98.91,87,1515592417.0,3
-8.51,126.66,18,1532488910.0,3
-5.19,129.98,224,1517779488.0,3
-0.27,122.95,66,1518947084.0,3
3.51,126.57,45,1526404436.0,3
2.05,121.69,49,1526955696.0,3
0.56,126.15,10,1530057354.0,3
-0.05,126.95,98,1519250600.0,3
0.26,100.26,170,1519749911.0,3
3.83,126.68,14,1532844329.0,3
0.89,122.16,24,1519746703.0,3
4.46,123.21,546,1518264082.0,3
0.33,120.66,12,1516502626.0,3
4.82,96.0,10,1526609166.0,3
1.4,99.7,185,1514851916.0,3
4.48,127.02,280,1519029736.0,3
2.25,128.37,228,1519024914.0,3
2.46,128.2,201,1531885009.0,3
-10.36,109.91,21,1514976062.0,3
-10.35,109.66,10,1533042128.0,3
-2.29,100.59,33,1529630346.0,3
-0.23,122.9,72,1526649857.0,3
2.29,128.42,10,1516425367.0,3
-4.17,123.36,60,1515875857.0,3
-6.23,133.22,47,1518860024.0,3
0.76,126.78,20,1526938523.0,3
-8.25,119.72,166,1530122130.0,3
-7.57,128.17,205,1517314505.0,3
-7.22,105.85,42,1518881102.0,3
-9.12,110.31,11,1518432741.0,3
-2.27,122.45,10,1518878440.0,3
-1.14,126.86,12,1519515654.0,3
-6.81,129.49,196,1519214211.0,3
-7.63,128.33,223,1518520585.0,3
-7.75,117.25,17,1518124741.0,3
1.47,127.0,46,1529529162.0,3
2.96,127.37,10,1527912061.0,3
-8.6,118.21,105,1527619636.0,3
1.0,126.06,10,1525927033.0,3
-6.87,105.44,10,1518914854.0,3
-6.27,130.44,184,1517532176.0,4
-9.56,112.87,10,1532711639.0,4
4.49,127.0,10,1514947159.0,4
-6.7,132.24,127,1527581526.0,4
1.46,126.95,103,1518009778.0,4
0.3,98.59,55,1515209199.0,4
-0.22,124.6,10,1531272174.0,4
-2.18,119.03,11,1516132065.0,4
0.81,99.95,178,1519070959.0,4
3.38,126.69,49,1532270607.0,4
-4.41,138.42,162,1516187982.0,4
1.45,127.36,112,1531150296.0,4
-6.17,129.79,169,1519818280.0,4
-1.3,120.55,10,1518618534.0,4
-0.12,97.31,14,1518561963.0,4
-2.24,139.14,27,1525355548.0,4
-7.94,128.28,12,1532911042.0,4
-6.45,129.99,117,1526050531.0,4
-7.45,128.64,139,1517291555.0,4
-8.84,123.01,120,1515047193.0,4
4.43,126.86,21,1527932368.0,4
-7.1,129.3,200,1529054788.0,4
5.42,96.92,11,1529388844.0,4
-6.03,128.85,343,1525366567.0,4
-5.89,102.87,48,1518871937.0,4
-0.12,97.31,14,1518561963.0,4
-4.04,129.5,11,1518750431.0,4
-11.27,110.97,36,1532251594.0,4
-6.28,130.45,133,1518502484.0,4
-5.92,130.85,19,1532154157.0,4
-1.65,99.75,10,1532091622.0,4
5.0,94.3,47,1516170328.0,4
-10.13,122.88,65,1515768544.0,4
-10.98,110.42,41,1526459418.0,4
-5.37,129.72,193,1519345238.0,4
-8.41,119.7,171,1518377236.0,4
4.61,126.9,10,1515244060.0,4
-6.17,105.68,159,1526677036.0,4
-0.22,124.54,40,1528182999.0,4
-6.92,106.43,10,1530915503.0,4
-7.76,105.88,41,1518774763.0,4
4.57,128.19,10,1530847508.0,4
-9.4,112.87,10,1531977429.0,4
-0.58,133.82,59,1518831132.0,4
4.28,94.89,10,1515353412.0,4
-4.04,129.5,11,1518750431.0,4
-7.13,132.04,98,1519797380.0,4
1.0,98.77,80,1519144849.0,4
-3.95,139.62,10,1528300029.0,4
1.79,127.19,27,1518474899.0,4
-10.22,118.76,13,1518017320.0,4
-1.88,115.86,17,1525263707.0,4
-7.52,128.14,155,1518579729.0,4
-8.41,119.7,171,1518377236.0,4
-7.59,121.63,422,1531307916.0,4
-1.27,99.68,40,1517675033.0,4
-7.6,128.71,126,1517585154.0,4
-7.13,132.04,98,1519797380.0,4
-5.11,102.88,50,1518702113.0,4
-7.84,128.67,10,1515797591.0,4
-7.95,115.84,21,1517525953.0,4
-5.0,130.03,190,1528693992.0,4
-2.46,140.01,21,1528282463.0,4
-4.32,134.17,18,1516940327.0,4
-1.86,100.38,13,1530024045.0,4
-6.41,130.54,142,1517008274.0,4
-6.19,127.25,454,1518893290.0,4
-5.3,133.8,10,1531187626.0,4
