Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-2.62,129.4,10,1516354187.0,1
0.16,123.81,127,1516358985.0,2
-7.58,106.74,27,1516360499.0,1
-1.33,99.19,83,1516362367.0,1
1.99,121.55,10,1516363301.0,1
-8.09,123.98,173,1516364834.0,1
1.35,97.06,28,1516366556.0,3
1.97,126.79,93,1516371272.0,2
1.78,126.41,77,1516371471.0,1
-1.32,120.46,10,1516371864.0,1
-0.1,123.25,144,1516386200.0,1
-7.82,108.04,51,1516388131.0,1
0.9,126.55,10,1516389513.0,2
-0.11,121.98,10,1516390394.0,1
-0.05,122.11,10,1516391588.0,1
-0.33,122.99,10,1516398265.0,1
-10.52,116.36,10,1516402907.0,1
1.09,126.9,104,1516407083.0,2
1.13,122.71,13,1516415394.0,1
-7.27,129.45,209,1516420816.0,3
-9.57,124.84,10,1516422742.0,1
-11.16,118.2,90,1516423963.0,2
-3.55,129.9,10,1516425233.0,2
-8.58,121.94,14,1516425236.0,1
2.29,128.42,10,1516425367.0,3
-6.59,128.5,294,1516428600.0,4
-4.51,128.17,14,1516428829.0,2
0.29,121.33,38,1516429729.0,1
-7.32,129.48,186,1516432492.0,3
-8.71,118.8,91,1516435625.0,1
0.45,121.59,110,1516441889.0,1
-8.16,116.74,28,1516442619.0,1
0.49,122.37,10,1516442739.0,1
1.15,98.93,76,1516460434.0,1
-7.84,128.08,134,1516461066.0,4
-7.38,107.19,98,1516461695.0,2
-11.3,116.31,10,1516463641.0,2
3.87,125.88,136,1516464151.0,2
-0.08,129.83,10,1516479665.0,1
-3.14,130.52,10,1516483387.0,1
-0.03,125.74,10,1516483611.0,1
-0.23,133.24,10,1516492542.0,3
-7.97,106.58,10,1516492685.0,2
-7.75,107.03,22,1516496483.0,1
-2.19,118.56,17,1516498764.0,1
0.33,120.66,12,1516502626.0,3
-1.63,100.68,35,1516503255.0,1
0.72,122.26,65,1516512152.0,1
-4.6,104.05,136,1516512459.0,3
-9.05,111.51,10,1516528484.0,2
-7.5,128.56,190,1516529526.0,2
-2.92,129.88,16,1516532323.0,2
-4.05,130.33,56,1516566173.0,3
-7.41,127.94,202,1516580112.0,4
-0.67,131.45,25,1516580538.0,1
-1.36,120.58,10,1516602944.0,1
-1.3,120.54,12,1516603548.0,2
-9.42,120.22,50,1516604879.0,3
-8.67,119.43,148,1516605173.0,2
-9.11,110.03,84,1516628997.0,4
-3.33,131.17,59,1516656333.0,3
-7.13,106.04,46,1516664094.0,5
-7.26,106.26,20,1516664314.0,3
-7.16,106.09,23,1516664458.0,3
-7.13,106.12,29,1516664550.0,2
-7.07,106.21,28,1516664634.0,1
-7.21,106.08,19,1516665006.0,3
-7.16,106.01,20,1516665164.0,3
-7.11,106.07,28,1516665830.0,2
-7.26,105.98,33,1516665913.0,1
-7.06,105.95,27,1516666592.0,1
-7.2,106.18,23,1516666718.0,1
-7.23,106.01,19,1516666988.0,1
-7.21,106.2,26,1516667110.0,1
-7.13,106.14,22,1516667545.0,2
-7.06,106.14,29,1516668370.0,1
-7.19,105.98,19,1516668785.0,2
-7.2,106.11,32,1516668971.0,4
-7.22,106.12,27,1516669130.0,3
-7.14,106.19,33,1516670176.0,1
-7.17,106.13,28,1516670425.0,1
-7.15,106.08,16,1516671489.0,1
-7.19,106.08,21,1516672232.0,1
-7.23,106.09,28,1516672515.0,3
-7.09,106.17,33,1516673081.0,1
-7.24,106.09,37,1516673708.0,3
0.52,119.54,10,1516673811.0,1
-7.25,106.12,32,1516674005.0,1
-7.27,106.09,32,1516675256.0,2
-8.97,111.16,10,1516677863.0,3
-9.54,117.75,26,1516680195.0,2
-1.88,129.05,10,1516680380.0,1
-7.21,106.12,33,1516680582.0,3
-7.22,106.05,29,1516684738.0,2
-7.13,106.15,33,1516686872.0,1
-7.21,106.08,41,1516687077.0,3
-7.16,106.05,32,1516687423.0,2
-8.22,118.26,178,1516687992.0,1
-7.15,106.15,36,1516689392.0,1
0.44,121.23,59,1516691170.0,1
2.73,125.73,152,1516691650.0,2
-7.14,106.08,32,1516692235.0,1
0.36,122.03,178,1516693197.0,1
-7.24,106.24,25,1516693722.0,1
-8.07,107.47,29,1516694319.0,1
1.85,126.69,10,1516695649.0,1
-8.62,117.14,151,1516696220.0,1
-9.13,118.59,93,1516696648.0,2
-9.38,115.13,38,1516697757.0,1
-7.17,106.15,28,1516698626.0,1
1.43,124.66,212,1516700408.0,1
-8.27,117.73,27,1516701308.0,1
-7.22,106.11,25,1516701886.0,3
-3.2,130.59,13,1516703910.0,5
-7.2,106.16,26,1516705224.0,1
-3.15,130.67,17,1516705428.0,1
-3.17,130.56,10,1516705684.0,1
-3.71,130.16,10,1516706265.0,1
-7.11,106.26,10,1516706483.0,1
-3.16,130.56,10,1516706531.0,1
-3.12,130.55,10,1516706845.0,1
-10.0,123.43,65,1516706888.0,1
-8.95,118.43,76,1516707377.0,1
-3.35,130.54,10,1516707797.0,1
-7.08,105.97,31,1516708140.0,1
-3.11,130.25,10,1516709009.0,1
-7.16,106.1,21,1516709253.0,2
-7.03,106.13,28,1516712516.0,1
-7.21,106.05,39,1516713089.0,2
-0.46,119.89,10,1516718387.0,1
-7.18,106.04,31,1516719135.0,2
-7.25,106.01,19,1516724965.0,1
-4.71,102.73,58,1516729214.0,5
-7.23,105.98,11,1516733342.0,3
0.49,97.94,35,1516745670.0,1
-7.21,105.99,46,1516750365.0,4
2.54,95.46,37,1516751827.0,5
1.61,127.24,125,1516766140.0,3
-7.16,106.01,17,1516766934.0,1
-7.23,106.08,27,1516772404.0,3
-11.27,117.55,10,1516773209.0,2
