Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
1.34,121.57,10,3.1,1515943404.0
2.52,128.07,127,4.4,1515950005.0
-8.88,117.02,15,2.4,1515950174.0
-0.22,133.14,10,3.3,1515952012.0
0.51,123.64,242,5.1,1515972711.0
-4.81,102.61,36,4.4,1515979434.0
0.36,121.16,10,2.7,1515982681.0
-3.0,127.98,19,4.0,1515985551.0
-4.89,102.79,33,3.9,1515988796.0
-9.36,114.82,10,3.2,1515988962.0
-4.85,131.31,10,3.9,1515989595.0
-0.32,122.95,12,3.1,1515990974.0
-8.83,122.0,10,2.5,1515993268.0
-3.01,128.04,10,2.8,1515999785.0
0.23,97.52,14,2.5,1516000374.0
-9.6,107.44,27,4.8,1516000501.0
-8.94,124.1,108,3.8,1516001848.0
1.41,99.44,10,3.1,1516005598.0
-8.78,123.18,141,3.6,1516006542.0
-2.87,135.65,16,4.0,1516006840.0
-5.72,110.38,529,4.6,1516007470.0
-11.01,116.17,10,3.5,1516009634.0
0.53,99.32,265,3.2,1516009796.0
0.17,125.88,10,3.3,1516010914.0
-9.28,123.64,50,2.5,1516010944.0
1.67,120.97,10,2.3,1516011481.0
-0.04,123.25,144,3.4,1516012199.0
-3.26,104.14,338,4.5,1516013558.0
0.25,97.36,37,2.3,1516014889.0
0.22,125.94,35,3.0,1516015409.0
-0.35,123.15,10,2.4,1516016553.0
0.68,121.59,72,2.5,1516018078.0
-0.89,130.89,10,2.4,1516018390.0
-1.25,98.88,27,2.9,1516019483.0
-7.41,107.72,10,2.7,1516020039.0
-6.0,106.3,14,2.9,1516021422.0
0.28,121.51,127,2.2,1516026558.0
-9.33,124.29,19,2.6,1516028252.0
-7.86,105.93,10,3.4,1516031891.0
-0.27,121.98,13,2.1,1516033865.0
-2.75,127.83,29,2.6,1516038294.0
-3.47,126.7,38,4.2,1516050325.0
-9.41,107.32,10,3.6,1516087732.0
-1.29,120.66,10,2.9,1516090660.0
-9.21,119.06,73,3.5,1516090807.0
0.25,129.57,10,3.8,1516092025.0
2.38,98.96,141,3.7,1516092784.0
-9.73,122.54,94,3.8,1516100489.0
-9.75,124.44,43,3.7,1516103574.0
-7.66,106.72,27,3.4,1516106624.0
0.06,125.85,10,3.6,1516109647.0
4.43,96.53,10,3.8,1516112295.0
-9.65,122.99,91,3.9,1516115761.0
-8.98,117.86,16,3.2,1516118703.0
-9.3,117.48,47,3.4,1516127948.0
-8.92,124.02,20,2.6,1516128448.0
-8.77,120.45,130,3.8,1516128664.0
-8.27,115.46,10,2.5,1516131257.0
-2.18,119.03,11,4.7,1516132065.0
-3.17,127.21,52,4.1,1516132118.0
-0.45,119.82,10,4.2,1516137950.0
-8.72,119.2,137,4.0,1516152093.0
1.2,121.41,10,3.6,1516153447.0
-10.26,124.72,21,3.1,1516157787.0
5.0,94.3,47,4.9,1516170328.0
-7.19,129.54,177,4.9,1516174524.0
-9.06,124.37,10,2.7,1516177902.0
1.96,98.92,59,3.1,1516179562.0
-5.66,105.24,10,3.5,1516179805.0
-3.17,129.53,10,3.5,1516181716.0
-3.86,127.67,10,2.6,1516183935.0
-4.41,138.42,162,4.5,1516187982.0
-0.82,120.33,10,3.9,1516203157.0
-0.96,122.82,129,2.6,1516203734.0
0.58,98.19,17,3.8,1516207331.0
-7.01,127.07,400,4.8,1516212062.0
2.16,121.0,13,4.3,1516214463.0
-8.66,118.36,101,2.6,1516217668.0
-8.18,119.98,174,3.8,1516217941.0
-0.12,122.95,77,3.4,1516240302.0
-6.32,130.28,163,4.5,1516246845.0
-0.23,122.47,11,2.5,1516249165.0
-9.81,119.46,32,3.6,1516251908.0
4.0,126.73,59,4.5,1516252270.0
-6.35,101.93,10,4.3,1516252377.0
-3.65,101.3,10,3.6,1516252579.0
