Tanggal,Waktu(UTC),Lintang,Bujur,Kedalaman(KM),Magnitudo(SR)
1/16/2018,18:52:54,-9.75,124.44,43,3.7
1/16/2018,19:43:44,-7.66,106.72,27,3.4
1/16/2018,20:34:07,0.06,125.85,10,3.6
1/16/2018,21:18:15,4.43,96.53,10,3.8
1/16/2018,22:16:01,-9.65,122.99,91,3.9
1/16/2018,23:05:03,-8.98,117.86,16,3.2
1/17/2018,01:39:08,-9.3,117.48,47,3.4
1/17/2018,01:47:28,-8.92,124.02,20,2.6
1/17/2018,01:51:04,-8.77,120.45,130,3.8
1/17/2018,02:34:17,-8.27,115.46,10,2.5
1/17/2018,02:47:45,-2.18,119.03,11,4.7
1/17/2018,02:48:38,-3.17,127.21,52,4.1
1/17/2018,04:25:50,-0.45,119.82,10,4.2
1/17/2018,08:21:33,-8.72,119.2,137,4.0
1/17/2018,08:44:07,1.2,121.41,10,3.6
1/17/2018,09:56:27,-10.26,124.72,21,3.1
1/17/2018,13:25:28,5.0,94.3,47,4.9
1/17/2018,14:35:24,-7.19,129.54,177,4.9
1/17/2018,15:31:42,-9.06,124.37,10,2.7
1/17/2018,15:59:22,1.96,98.92,59,3.1
1/17/2018,16:03:25,-5.66,105.24,10,3.5
1/17/2018,16:35:16,-3.17,129.53,10,3.5
1/17/2018,17:12:15,-3.86,127.67,10,2.6
1/17/2018,18:19:42,-4.41,138.42,162,4.5
1/17/2018,22:32:37,-0.82,120.33,10,3.9
1/17/2018,22:42:14,-0.96,122.82,129,2.6
1/17/2018,23:42:11,0.58,98.19,17,3.8
1/18/2018,01:01:02,-7.01,127.07,400,4.8
1/18/2018,01:41:03,2.16,121.0,13,4.3
1/18/2018,02:34:28,-8.66,118.36,101,2.6
1/18/2018,02:39:01,-8.18,119.98,174,3.8
1/18/2018,08:51:42,-0.12,122.95,77,3.4
1/18/2018,10:40:45,-6.32,130.28,163,4.5
1/18/2018,11:19:25,-0.23,122.47,11,2.5
1/18/2018,12:05:08,-9.81,119.46,32,3.6
1/18/2018,12:11:10,4.0,126.73,59,4.5
1/18/2018,12:12:57,-6.35,101.93,10,4.3
1/18/2018,12:16:19,-3.65,101.3,10,3.6
1/18/2018,12:34:06,-7.94,117.59,22,3.2
1/18/2018,14:30:53,-3.88,131.75,101,3.9
1/18/2018,14:31:56,0.76,126.49,43,4.3
1/18/2018,14:43:38,-5.29,120.9,23,3.0
1/18/2018,15:23:07,1.68,123.02,26,2.6
1/18/2018,17:04:46,-0.08,97.9,37,2.8
1/18/2018,17:26:13,0.43,124.43,10,2.5
1/18/2018,17:48:40,-6.41,132.72,62,5.7
1/18/2018,18:03:27,-9.32,110.48,10,3.4
1/18/2018,19:08:00,-7.29,106.6,170,3.1
1/18/2018,20:45:29,-2.26,131.69,10,2.9
1/18/2018,21:54:06,-8.51,108.82,53,3.3
1/18/2018,23:41:35,0.29,122.12,27,1.8
1/19/2018,00:48:20,-0.1,121.59,18,2.5
1/19/2018,01:03:51,1.59,126.32,10,4.6
1/19/2018,03:04:47,0.15,124.04,105,3.4
1/19/2018,04:12:28,0.88,122.54,15,2.4
1/19/2018,04:28:54,-0.57,131.27,10,2.3
1/19/2018,04:35:23,0.86,121.81,160,1.9
1/19/2018,09:36:04,0.11,121.8,133,2.2
1/19/2018,12:53:47,-7.71,106.84,19,2.6
1/19/2018,14:13:24,-11.08,118.52,10,3.6
1/19/2018,14:17:35,-0.8,124.07,10,3.0
1/19/2018,14:25:41,-2.46,131.87,140,3.0
1/19/2018,16:12:26,-0.53,119.71,10,2.8
1/19/2018,16:29:47,-2.62,129.4,10,3.1
1/19/2018,17:49:45,0.16,123.81,127,3.5
1/19/2018,18:14:59,-7.58,106.74,27,2.8
1/19/2018,18:46:07,-1.33,99.19,83,3.0
1/19/2018,19:01:41,1.99,121.55,10,2.5
1/19/2018,19:27:14,-8.09,123.98,173,3.0
1/19/2018,19:55:56,1.35,97.06,28,4.1
1/19/2018,21:14:32,1.97,126.79,93,3.7
1/19/2018,21:17:51,1.78,126.41,77,3.3
